loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,term_ 36 months,term_ 60 months
3000.0,18.25,108.84,65000.0,17.39,0.0,0.0,8.0,0.0,43936.0,98.1,22.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4400.0,16.77,156.37,55000.0,20.01,0.0,0.0,7.0,0.0,25237.0,99.0,11.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6000.0,6.03,182.62,45600.0,5.34,0.0,1.0,6.0,0.0,3378.0,32.5,28.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14000.0,9.91,451.15,80000.0,10.0,0.0,1.0,7.0,0.0,2219.0,13.4,40.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10000.0,10.65,325.74,27000.0,11.47,0.0,0.0,7.0,0.0,7814.0,52.3,10.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10000.0,6.03,304.36,60000.0,12.74,0.0,1.0,11.0,0.0,14019.0,19.5,18.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11000.0,6.62,337.75,70000.0,10.85,0.0,0.0,5.0,0.0,11638.0,36.4,7.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
25600.0,9.91,824.96,110000.0,15.71,0.0,0.0,11.0,0.0,26088.0,62.0,27.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7000.0,10.65,228.02,40000.0,7.38,0.0,0.0,7.0,0.0,12168.0,92.9,12.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12000.0,9.91,386.7,46000.0,8.11,0.0,1.0,11.0,0.0,12143.0,52.1,12.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16000.0,19.91,423.11,81000.0,20.52,0.0,3.0,12.0,0.0,27884.0,75.1,21.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10000.0,12.42,334.16,39000.0,18.58,0.0,0.0,5.0,0.0,12874.0,72.7,10.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10000.0,10.65,325.74,51400.0,19.14,0.0,3.0,10.0,0.0,10160.0,59.1,24.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7100.0,16.77,252.33,33000.0,24.0,0.0,2.0,4.0,0.0,6021.0,91.2,8.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
13000.0,12.69,293.74,30000.0,13.72,0.0,0.0,17.0,0.0,17080.0,58.9,27.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
17500.0,17.27,223.74,40000.0,19.47,0.0,1.0,5.0,0.0,10724.0,58.9,6.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
17675.0,14.65,417.25,50000.0,16.46,0.0,2.0,6.0,0.0,6661.0,57.4,14.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8000.0,16.77,284.31,62000.0,21.64,0.0,3.0,14.0,0.0,6088.0,66.9,20.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3500.0,10.65,114.01,55000.0,5.39,0.0,1.0,9.0,0.0,6611.0,45.9,12.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16425.0,14.27,563.53,44544.0,22.71,0.0,1.0,10.0,0.0,15747.0,83.4,18.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15000.0,14.65,517.42,61000.0,11.88,0.0,1.0,8.0,0.0,19397.0,79.5,18.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20975.0,17.58,341.63,44000.0,18.79,0.0,0.0,13.0,1.0,20657.0,79.4,21.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3000.0,13.49,101.8,33600.0,18.11,0.0,0.0,4.0,0.0,2745.0,83.2,7.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12000.0,16.77,426.47,50000.0,20.57,0.0,1.0,13.0,0.0,11443.0,97.0,19.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14400.0,8.9,457.25,150000.0,14.85,0.0,0.0,12.0,0.0,63864.0,55.0,38.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12000.0,14.65,413.94,90000.0,16.56,0.0,2.0,12.0,0.0,17116.0,78.5,36.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11000.0,13.49,373.24,48000.0,21.82,0.0,3.0,15.0,0.0,11382.0,65.0,29.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7250.0,21.67,197.51,75000.0,24.82,0.0,2.0,9.0,1.0,21706.0,91.2,19.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15000.0,7.9,469.36,52000.0,9.65,0.0,1.0,11.0,0.0,1616.0,6.7,29.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
18000.0,19.91,475.99,65000.0,6.81,0.0,0.0,10.0,0.0,11745.0,77.8,40.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35000.0,17.27,551.84,150000.0,7.51,0.0,1.0,11.0,0.0,7334.0,53.3,31.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10000.0,14.27,343.09,68000.0,15.39,0.0,1.0,9.0,0.0,11303.0,81.3,15.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11800.0,12.69,395.83,42000.0,9.86,0.0,0.0,4.0,0.0,8940.0,74.8,13.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4500.0,6.03,136.96,53000.0,4.44,0.0,0.0,7.0,0.0,8630.0,13.9,17.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7000.0,12.69,234.82,35000.0,11.35,0.0,2.0,10.0,0.0,7649.0,82.3,26.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9200.0,12.42,307.43,60000.0,19.96,0.0,3.0,8.0,0.0,23299.0,78.7,19.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14000.0,17.27,349.98,28000.0,6.34,0.0,2.0,5.0,0.0,6986.0,79.4,10.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4500.0,10.65,97.06,42000.0,5.4,0.0,0.0,4.0,0.0,8220.0,78.3,9.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12000.0,16.29,423.61,88365.0,16.85,0.0,0.0,6.0,0.0,22936.0,96.4,15.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12000.0,13.49,407.17,72000.0,21.33,0.0,1.0,11.0,0.0,3419.0,27.6,19.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12000.0,10.65,390.88,62000.0,23.94,0.0,0.0,10.0,0.0,20310.0,78.4,51.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7000.0,10.65,228.02,43680.0,5.38,0.0,0.0,7.0,0.0,6245.0,78.1,11.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8200.0,19.42,214.62,120000.0,2.8,0.0,2.0,5.0,0.0,10392.0,88.4,6.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10500.0,12.69,352.23,66000.0,20.73,1.0,2.0,8.0,0.0,5790.0,51.2,26.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7000.0,11.71,231.54,39120.0,21.01,0.0,0.0,8.0,1.0,9414.0,52.4,26.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15300.0,22.06,423.1,85000.0,20.58,0.0,2.0,14.0,0.0,26524.0,89.7,27.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20000.0,11.71,282.86,47800.0,10.04,0.0,0.0,15.0,0.0,16447.0,46.3,27.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3500.0,6.03,106.53,83000.0,2.31,0.0,0.0,6.0,0.0,3092.0,13.4,28.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6000.0,12.69,135.57,81000.0,13.66,1.0,0.0,6.0,0.0,15102.0,50.0,17.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
16000.0,17.58,402.65,65000.0,15.56,0.0,0.0,8.0,0.0,21166.0,87.1,16.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6000.0,8.9,190.52,28800.0,13.17,0.0,0.0,11.0,0.0,5269.0,36.8,13.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7200.0,9.91,232.02,135000.0,6.12,0.0,0.0,7.0,0.0,16627.0,79.6,18.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9500.0,8.9,301.66,50000.0,8.18,0.0,0.0,8.0,0.0,13422.0,60.5,13.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24000.0,10.65,781.76,45000.0,14.8,0.0,0.0,5.0,0.0,24708.0,55.2,9.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6000.0,13.49,203.59,80000.0,11.58,0.0,0.0,8.0,0.0,15499.0,83.8,16.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6000.0,13.49,203.59,50000.0,15.38,0.0,1.0,6.0,0.0,15191.0,91.5,7.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2100.0,12.42,70.18,30000.0,19.72,0.0,1.0,12.0,0.0,12183.0,82.9,26.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5500.0,6.62,168.88,110000.0,9.69,0.0,0.0,7.0,0.0,14136.0,21.9,26.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11000.0,6.62,337.75,45608.0,20.5,0.0,0.0,7.0,0.0,10677.0,58.7,11.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
26800.0,20.89,723.38,120000.0,12.15,0.0,0.0,13.0,0.0,14772.0,48.0,18.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8000.0,12.69,268.36,35000.0,10.05,0.0,0.0,7.0,0.0,6842.0,97.7,18.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8000.0,11.71,264.61,35000.0,9.7,0.0,0.0,7.0,0.0,6142.0,46.5,8.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10000.0,8.9,317.54,24000.0,7.0,0.0,0.0,6.0,0.0,6734.0,49.5,21.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12000.0,11.71,396.92,126000.0,13.32,0.0,0.0,17.0,0.0,32711.0,54.1,38.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10000.0,7.9,312.91,43000.0,25.26,0.0,0.0,8.0,0.0,8215.0,37.2,16.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12000.0,9.91,386.7,50000.0,16.44,0.0,1.0,11.0,0.0,14335.0,29.3,25.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10000.0,9.91,322.25,31200.0,14.81,0.0,0.0,13.0,0.0,5540.0,27.0,19.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
13650.0,12.42,456.12,66000.0,24.09,0.0,0.0,11.0,0.0,8933.0,56.5,34.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
18000.0,7.9,563.23,56964.0,27.55,0.0,0.0,7.0,0.0,17381.0,76.6,20.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2500.0,14.27,85.78,49500.0,10.33,0.0,1.0,7.0,0.0,9868.0,37.7,20.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
21000.0,20.3,559.89,70000.0,23.21,0.0,2.0,17.0,0.0,12508.0,70.7,25.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35000.0,8.9,1111.37,125000.0,22.71,0.0,0.0,8.0,0.0,9051.0,34.8,32.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10000.0,7.51,311.11,33000.0,9.75,0.0,1.0,9.0,0.0,68.0,0.6,19.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7000.0,12.69,234.82,30000.0,15.8,0.0,2.0,7.0,0.0,15455.0,47.6,11.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10625.0,7.51,330.56,23000.0,18.89,0.0,1.0,9.0,0.0,7114.0,43.4,21.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5000.0,14.65,172.48,24000.0,18.3,0.0,2.0,5.0,0.0,2429.0,33.3,9.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8850.0,6.62,271.73,62000.0,17.71,0.0,0.0,7.0,0.0,9466.0,35.9,19.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6375.0,7.51,198.34,44000.0,4.8,0.0,0.0,7.0,0.0,6324.0,58.0,11.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6000.0,11.71,198.46,90000.0,2.97,1.0,0.0,10.0,0.0,8489.0,56.6,23.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10000.0,12.69,225.95,56000.0,10.82,0.0,1.0,11.0,0.0,10081.0,31.2,18.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6200.0,6.03,188.71,26500.0,18.2,0.0,0.0,6.0,0.0,2982.0,16.0,18.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
15000.0,18.64,547.12,54000.0,19.69,0.0,2.0,9.0,0.0,15183.0,90.3,12.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4200.0,11.71,138.92,53000.0,16.91,0.0,0.0,15.0,0.0,8336.0,79.7,22.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
14000.0,14.27,480.33,52800.0,7.36,0.0,1.0,9.0,0.0,13378.0,70.8,14.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8875.0,7.51,276.11,38000.0,23.53,0.0,1.0,13.0,0.0,19056.0,62.1,27.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
13500.0,9.91,435.04,38000.0,12.38,0.0,1.0,3.0,0.0,16023.0,67.3,7.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16000.0,19.91,423.11,55000.0,15.8,0.0,0.0,8.0,0.0,7743.0,72.4,19.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21600.0,19.42,565.32,60000.0,16.74,1.0,0.0,6.0,0.0,13354.0,78.1,21.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6000.0,10.65,195.44,87000.0,12.86,2.0,0.0,12.0,0.0,11739.0,40.5,22.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8450.0,16.77,208.97,25000.0,22.51,0.0,2.0,6.0,0.0,17614.0,83.5,21.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20000.0,13.49,460.1,82000.0,17.68,0.0,0.0,13.0,0.0,26693.0,61.4,23.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12000.0,16.29,423.61,80000.0,18.18,0.0,0.0,8.0,0.0,29609.0,97.2,11.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7200.0,12.42,240.59,48000.0,17.43,0.0,1.0,7.0,0.0,16450.0,80.2,10.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
12000.0,14.27,411.71,57000.0,10.86,0.0,1.0,7.0,0.0,9273.0,81.5,11.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8500.0,6.03,258.71,25000.0,1.73,0.0,0.0,6.0,0.0,2463.0,28.0,18.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8000.0,9.91,257.8,34000.0,18.28,0.0,0.0,6.0,0.0,7434.0,78.5,7.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8000.0,12.42,267.33,40000.0,15.0,0.0,0.0,10.0,0.0,18601.0,88.2,11.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16000.0,15.27,382.92,42656.4,17.44,0.0,1.0,4.0,0.0,12830.0,92.3,17.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15000.0,17.27,536.81,44400.0,3.59,1.0,0.0,6.0,1.0,4582.0,91.6,16.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10000.0,9.91,322.25,30000.0,11.24,0.0,1.0,8.0,0.0,9152.0,66.8,30.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10000.0,6.62,307.04,70000.0,16.78,0.0,0.0,9.0,0.0,10770.0,69.0,18.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8000.0,14.65,275.96,28000.0,12.6,0.0,1.0,8.0,0.0,6187.0,54.3,11.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
